GROUP,FAMILY,SPECIES,FEED MODE ,SIZE,MOBILITY,BIOTURBATION,STATION,TREATMENT,CORE,LAYER,COUNTS,ABUNDANCE,BIOMASS,Dry Weight_mg,Dry Weight_ug,Biomass_analysed_mg,Biomass_analysed_ug,n_analysed,Biomass.mg.C.m2,Biomass.mg.N.m2,N_µg,15N_at.percentage,δ15N_air,C_µg,δ13C_VPDB,Formalin.corrected_δ13C_VPDB,13C_at.percentage,Core area_m2,Actual_C.percentage,Actual_N.percentage,Sample_weight_mgC,Sample_weight_mgN,Sample_weight_ugC,Sample_weight_ugN,Sample_weight_ugC/m2,Sample_weight_ugN/m2,Sample_weight_mgCm2,Sample_weight_mgN/m2,Background_N_µg,Background_15N_at.percentage,Background_δ15N_air,Background_C_µg,Background_δ13C_VPDB,Background_Formalin.corrected_δ13C_VPDB,Background_13C_at.percentage,Δδ13C,R 13C sample,R 13C control,F 13C sample,F 13C control ,E 13C,I 13C_ugC,Algal labeling factor,I total_ugC,I.total..ug.C.m2.,I.total..mg.C.m2.,ug.C.mg.1,,Δδ13N,R 13N sample,R 13N control,F 13N sample,F 13N control ,E 13N,I 13C_ugN,Algal labeling factor,I total_ugN,I.total..ug.N.m2.,I.total..mg.N.m2.,ug.N.mg.1
Polychaeta,Syllidae,,P/S,,,,ST407,C,C1,5-10cm,1,333.333,328.667,0.986,986,0.986,986,1,86.184,20.864,62.593,0.372,16.715,258.552,-23.833,-22.833,1.08,0.003,0.262,0.063,0.259,0.063,258.552,62.593,86183.933,20864.214,86.184,20.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C1,5-10cm,,,992,2.976,,,0,,334.463,81.413,,,,,,,,0.003,0.337,0.082,1.003,0.244,1003.39,244.24,334463.355,81413.259,334.463,81.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST407,C,C1,0-5cm,,,,,,10.538,10538,1,0,,23.137,0.369,6.526,158.968,-23.996,-22.996,1.079,,0.015,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,Melina sp.,SDF,,,,ST407,C,C2,0-5cm,1,333.333,433,1.299,1299,1.299,1299,1,155.436,31.178,93.533,0.371,12.942,466.308,-25.948,-24.948,1.077,0.003,0.359,0.072,0.466,0.094,466.308,93.533,155436.043,31177.822,155.436,31.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,,SSDF,,,,ST407,C,C2,5-10cm,1,333.333,908.333,2.725,2725,1.007,1007,1,222.444,47.471,52.628,0.372,16.256,246.607,-24.861,-23.861,1.078,0.003,0.245,0.052,0.667,0.142,667.332,142.413,222444.059,47471.05,222.444,47.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sarsi,SSDF,Large,,,ST407,C,C2,0-5cm,1,333.333,673.333,2.02,2020,1.332,1332,1,210.827,46.146,91.286,0.372,15.621,417.062,-24.769,-23.769,1.079,0.003,0.313,0.069,0.632,0.138,632.482,138.437,210827.244,46145.827,210.827,46.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C2,5-10cm,1,333.333,564.333,1.693,1693,1.693,1693,1,153.469,36.348,109.043,0.372,16.027,460.406,-24.503,-23.503,1.079,0.003,0.272,0.064,0.46,0.109,460.406,109.043,153468.625,36347.529,153.469,36.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,C,C2,0-5cm,1,333.333,281,0.843,843,0.843,843,1,75.56,16.828,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,0.003,0.269,0.06,0.227,0.05,226.681,50.484,75560.284,16827.991,75.56,16.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nematodes,Nematodes,Nematodes,P/S,,,,ST407,C,C2,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.048,0.017,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,C,C2,0-5cm,2,666.667,52.667,0.158,158,0.158,158,2,10.686,2.446,7.337,0.372,15.469,32.057,-23.885,-22.885,1.08,0.003,0.203,0.046,0.032,0.007,32.057,7.337,10685.569,2445.624,10.686,2.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C2,0-5cm,,,299.667,0.899,,,0,,101.036,24.594,,,,,,,,0.003,0.337,0.082,0.303,0.074,303.107,73.781,101035.805,24593.589,101.036,24.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST407,C,C2,0-5cm,,,,,,9.16,9160,1,0,,16.805,0.369,7.423,117.497,-23.61,-22.61,1.08,,0.013,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,Melina sp.,SDF,,,,ST407,C,C3,0-5cm,1,333.333,2881,8.643,8643,2.005,2005,1,1037.606,192.004,133.623,0.371,13.645,722.11,-25.686,-24.686,1.078,0.003,0.36,0.067,3.113,0.576,3112.817,576.012,1037605.519,192003.839,1037.606,192.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Diastylidae,,FF/SDF,,,,ST407,C,C3,0-5cm,1,333.333,72.333,0.217,217,0.217,217,1,29.397,3.351,10.053,0.369,8.692,88.191,-26.479,-25.479,1.077,0.003,0.406,0.046,0.088,0.01,88.191,10.053,29396.944,3351.082,29.397,3.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Lumbrineridae,Lumbrineris sp.,P/S,,,,ST407,C,C3,5-10cm,1,333.333,35.667,0.107,107,0.107,107,1,7.729,1.898,5.694,0.371,12.694,23.188,-23.187,-22.187,1.08,0.003,0.217,0.053,0.023,0.006,23.188,5.694,7729.464,1898.006,7.729,1.898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,C,C3,5-10cm,1,333.333,174.667,0.524,524,0.524,524,1,63.187,15.542,46.625,0.372,16.434,189.56,-23.107,-22.107,1.08,0.003,0.362,0.089,0.19,0.047,189.56,46.625,63186.708,15541.693,63.187,15.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nematodes,Nematodes,Nematodes,P/S,,,,ST407,C,C3,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.048,0.017,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Pseudotanaidae,Pseudotanais sp.,SDF,,,,ST407,C,C3,0-5cm,1,333.333,21.333,0.064,64,0.064,64,1,4.416,1,2.999,0.371,13.823,13.247,-25.386,-24.386,1.078,0.003,0.207,0.047,0.013,0.003,13.247,2.999,4415.596,999.547,4.416,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C3,0-5cm,,,921,2.763,,,0,,310.525,75.586,,,,,,,,0.003,0.337,0.082,0.932,0.227,931.575,226.759,310524.949,75586.302,310.525,75.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,C,C3,0-5cm,1,333.333,87.333,0.262,262,0.262,262,1,15.855,3.777,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,0.003,0.182,0.043,0.048,0.011,47.566,11.331,15855.341,3776.934,15.855,3.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST407,C,C3,0-5cm,,,,,,9.851,9851,1,0,,18.201,0.369,7.33,127.924,-23.726,-22.726,1.08,,0.013,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Akanthophoreidae ,Akanthophoreus gracilis,SDF,,,,ST407,C,C4,0-5cm,1,333.333,54.333,0.163,163,0.163,163,1,17.466,2.016,6.048,0.372,14.513,52.397,-27.377,-26.377,1.076,0.003,0.321,0.037,0.052,0.006,52.397,6.048,17465.81,2016.123,17.466,2.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Ampeliscidae,Haploops sp.,FF,,,,ST407,C,C4,0-5cm,1,333.333,21,0.063,63,0.063,63,1,10.551,1.769,5.307,0.37,10.58,31.654,-27.382,-26.382,1.076,0.003,0.502,0.084,0.032,0.005,31.654,5.307,10551.232,1769.149,10.551,1.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Lumbrineridae,Lumbrineris sp.,P/S,,,,ST407,C,C4,5-10cm,1,333.333,227.333,0.682,682,0.682,682,1,84.857,21.007,63.021,0.371,12.991,254.571,-24.267,-23.267,1.079,0.003,0.373,0.092,0.255,0.063,254.571,63.021,84857.003,21007.053,84.857,21.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C4,5-10cm,1,333.333,383,1.149,1149,1.149,1149,1,138.363,34.316,102.947,0.372,16.336,415.09,-23.397,-22.397,1.08,0.003,0.361,0.09,0.415,0.103,415.09,102.947,138363.172,34315.693,138.363,34.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C4,5-10cm,1,333.333,333.333,1,1000,1,1000,1,110.679,26.647,79.941,0.372,16.475,332.038,-23.133,-22.133,1.08,0.003,0.332,0.08,0.332,0.08,332.038,79.941,110679.258,26647.16,110.679,26.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C4,5-10cm,1,333.333,311.667,0.935,935,0.935,935,1,104.73,26.933,80.798,0.373,17.141,314.191,-22.255,-21.255,1.081,0.003,0.336,0.086,0.314,0.081,314.191,80.798,104730.171,26932.631,104.73,26.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,C,C4,0-5cm,1,333.333,75.667,0.227,227,0.227,227,1,25.512,6.21,18.63,0.371,13.188,76.535,-24.498,-23.498,1.079,0.003,0.337,0.082,0.077,0.019,76.535,18.63,25511.822,6209.95,25.512,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,C,C4,5-10cm,1,333.333,323.333,0.97,970,0.97,970,1,89.5,16.078,48.233,0.371,12.354,268.5,-23.999,-22.999,1.079,0.003,0.277,0.05,0.268,0.048,268.5,48.233,89499.975,16077.676,89.5,16.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,C,C4,0-5cm,1,333.333,10,0.03,30,,0,,2.029,0.464,,,,,,,,0.003,0.203,0.046,0.006,0.001,6.087,1.393,2028.906,464.359,2.029,0.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C4,5-10cm,,,367,1.101,,,0,,123.738,30.12,,,,,,,,0.003,0.337,0.082,0.371,0.09,371.214,90.359,123737.955,30119.623,123.738,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Akanthophoreidae ,Akanthophoreus gracilis,SDF,,,,ST407,C,C5,0-5cm,1,333.333,327,0.981,981,0.981,981,1,44.111,6.675,20.025,0.372,14.441,132.334,-26.148,-25.148,1.077,0.003,0.135,0.02,0.132,0.02,132.334,20.025,44111.204,6675.002,44.111,6.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnidaria,Alcyoniidae,Alcyonium sp.,FF,,,,ST407,C,C5,0-5cm,1,333.333,287.333,0.862,862,0.862,862,1,24.038,4.958,14.873,0.371,11.72,72.113,-24.478,-23.478,1.079,0.003,0.084,0.017,0.072,0.015,72.113,14.873,24037.51,4957.753,24.038,4.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,Melinna cristata,SDF,,,,ST407,C,C5,0-5cm,1,333.333,3216.667,9.65,9650,1.49,1490,1,1567.286,302.304,140.031,0.372,15.05,725.986,-24.771,-23.771,1.079,0.003,0.487,0.094,4.702,0.907,4701.857,906.913,1567285.608,302304.3,1567.286,302.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,Amage sp.,SDF,Large,,,ST407,C,C5,0-5cm,1,333.333,658.333,1.975,1975,1.975,1975,1,192.692,32.069,96.208,0.371,12.419,578.075,-26.808,-25.808,1.076,0.003,0.293,0.049,0.578,0.096,578.075,96.208,192691.658,32069.387,192.692,32.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sarsi,SSDF,Large,,,ST407,C,C5,5-10cm,1,333.333,785.333,2.356,2356,1.286,1286,1,266.731,65.153,106.69,0.372,16.791,436.777,-23.061,-22.061,1.08,0.003,0.34,0.083,0.8,0.195,800.192,195.46,266730.631,65153.425,266.731,65.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C5,5-10cm,1,333.333,272.667,0.818,818,0.818,818,1,101.423,23.792,71.376,0.372,16.322,304.268,-23.385,-22.385,1.08,0.003,0.372,0.087,0.304,0.071,304.268,71.376,101422.557,23791.899,101.423,23.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinodermata,Ophiurida,Ophiure,FF/SDF,,,,ST407,C,C5,0-5cm,1,333.333,94.333,0.283,283,0.283,283,1,27.924,5.924,17.771,0.371,12.121,83.771,-25.175,-24.175,1.078,0.003,0.296,0.063,0.084,0.018,83.771,17.771,27923.567,5923.75,27.924,5.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,C,C5,0-5cm,1,333.333,46.667,0.14,140,,0,,9.468,2.167,,,,,,,,0.003,0.203,0.046,0.028,0.007,28.405,6.501,9468.226,2167.009,9.468,2.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C5,5-10cm,,,917,2.751,,,0,,309.176,75.258,,,,,,,,0.003,0.337,0.082,0.928,0.226,927.529,225.774,309176.307,75258.022,309.176,75.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,C,C5,0-5cm,,,411.667,1.235,,,0,,138.798,33.785,,,,,,,,0.003,0.337,0.082,0.416,0.101,416.393,101.356,138797.797,33785.408,138.798,33.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST407,C,C5,0-5cm,1,333.333,47,0.141,141,0.141,141,1,11.894,3.126,9.377,0.373,17.904,35.683,-21.78,-20.78,1.082,0.003,0.253,0.067,0.036,0.009,35.683,9.377,11894.477,3125.621,11.894,3.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST407,IA,IA1,5-10cm,1,333.333,643.667,1.931,,0.947,947,1,244.887,38.484,56.621,0.382,41.759,360.292,-14.252,-13.252,1.09,0.003,0.38,0.06,0.735,0.115,734.66,115.453,244886.684,38484.462,244.887,38.484,70.626,0.372,14.253,347.887,-25.021,-24.021,1.078,10.769,0.011,0.011,0.011,0.011,0,0.043,0.61,0.07,23.305,0.023,0.095,,27.506,0.004,0.004,0.004,0.004,0,0.006,0.365,0.016,5.19,0.005,0.135
Polychaeta,Ampharetidae ,,SDF,,,,ST407,IA,IA1,0-5cm,1,333.333,48,0.144,,0.144,144,1,16.356,2.61,7.83,0.95,1608.77,49.069,814.125,815.125,1.988,0.003,0.341,0.054,0.049,0.008,49.069,7.83,16356.454,2609.847,16.356,2.61,70.626,0.372,14.253,347.887,-25.021,-24.021,1.078,839.146,0.02,0.011,0.02,0.011,0.009,0.449,0.61,0.735,245.063,0.245,14.983,,1594.517,0.01,0.004,0.01,0.004,0.006,0.045,0.365,0.124,41.364,0.041,15.849
Crustacea,Desmosomatidae,,SSDF,,,,ST407,IA,IA1,0-5cm,1,333.333,19,0.057,,,0,,7.722,0.88,,,,,,,,0.003,0.406,0.046,0.023,0.003,23.165,2.641,7721.778,880.238,7.722,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA1,0-5cm,1,333.333,1193,3.579,,1.843,1843,1,424.517,80.683,124.642,0.372,16.862,655.813,-23.247,-22.247,1.08,0.003,0.356,0.068,1.274,0.242,1273.55,242.049,424516.825,80682.85,424.517,80.683,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,0.166,0.011,0.011,0.011,0.011,0,0.001,0.61,0.002,0.654,0.001,0.002,,0.09,0.004,0.004,0.004,0.004,0,0,0.365,0,0.037,0,0
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,IA,IA1,5-10cm,1,333.333,460.333,1.381,,1.381,1381,1,88.111,19.98,59.939,0.372,16.057,264.333,-24.262,-23.262,1.079,0.003,0.191,0.043,0.264,0.06,264.333,59.939,88110.888,19979.609,88.111,19.98,80.798,0.373,17.141,314.191,-22.255,-21.255,1.081,-2.007,0.011,0.011,0.011,0.011,0,-0.006,0.61,-0.01,-3.187,-0.003,-0.036,,-1.084,0.004,0.004,0.004,0.004,0,0,0.365,-0.001,-0.217,0,-0.011
Polychaeta,Scalibregmatidae ,,SSDF,,,,ST407,IA,IA1,0-5cm,1,333.333,53,0.159,,0.159,159,1,11.94,2.963,8.888,0.375,24.227,35.819,-19.323,-18.323,1.085,0.003,0.225,0.056,0.036,0.009,35.819,8.888,11939.757,2962.665,11.94,2.963,28.716,0.372,15.329,119.102,-24.644,-23.644,1.079,5.321,0.011,0.011,0.011,0.011,0,0.002,0.61,0.003,1.145,0.001,0.096,,8.898,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.264,0,0.089
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,Medium,,,ST407,IA,IA1,0-5cm,2,666.667,81.333,0.244,,0.244,244,2,20.771,5.108,15.325,0.618,690.499,62.313,518.412,519.412,1.669,0.003,0.255,0.063,0.062,0.015,62.313,15.325,20771.048,5108.271,20.771,5.108,18.63,0.371,13.188,76.535,-24.498,-23.498,1.079,542.91,0.017,0.011,0.017,0.011,0.006,0.37,0.61,0.606,202,0.202,9.725,,677.312,0.006,0.004,0.006,0.004,0.002,0.038,0.365,0.104,34.506,0.035,6.755
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,IA,IA1,0-5cm,1,333.333,26,0.078,,0.097,97,2,164.374,37.146,138.582,0.372,16.462,613.241,-23.6,-22.6,1.08,0.003,6.322,1.429,0.493,0.111,493.122,111.437,164373.85,37145.584,164.374,37.146,7.337,0.372,15.469,32.057,-23.885,-22.885,1.08,0.285,0.011,0.011,0.011,0.011,0,0.002,0.61,0.002,0.525,0.001,0.003,,0.992,0.004,0.004,0.004,0.004,0,0.001,0.365,0.001,0.229,0,0.005
Polychaeta,unidentified,unidentified,,,,,ST407,IA,IA1,5-10cm,,,295.667,0.887,,,0,,99.687,24.265,,,,,,,,0.003,0.337,0.082,0.299,0.073,299.061,72.796,99687.163,24265.309,99.687,24.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST407,IA,IA1,0-5cm,,,317,0.951,,,0,,106.88,26.016,,,,,,,,0.003,0.337,0.082,0.321,0.078,320.64,78.048,106879.923,26016.132,106.88,26.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane sarsi,SSDF,Large,,,ST407,IA,IA2,5-10cm,1,333.333,719.333,2.158,,2.158,2158,1,244.99,58.711,176.133,0.373,17.063,734.969,-23.202,-22.202,1.08,0.003,0.341,0.082,0.735,0.176,734.969,176.133,244989.798,58710.854,244.99,58.711,91.286,0.372,15.621,417.062,-24.769,-23.769,1.079,1.567,0.011,0.011,0.011,0.011,0,0.013,0.61,0.021,6.92,0.007,0.028,,1.442,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,0.846,0.001,0.014
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA2,5-10cm,1,333.333,464.333,1.393,,1.393,1393,1,216.026,30.224,90.672,0.371,12.337,648.077,-26.948,-25.948,1.076,0.003,0.465,0.065,0.648,0.091,648.077,90.672,216025.802,30223.85,216.026,30.224,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,-3.535,0.011,0.011,0.011,0.011,0,-0.025,0.61,-0.041,-13.76,-0.014,-0.064,,-4.436,0.004,0.004,0.004,0.004,0,-0.001,0.365,-0.004,-1.34,-0.001,-0.044
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA2,5-10cm,1,333.333,209.333,0.628,,0.628,628,1,69.782,15.948,47.845,0.372,16.007,209.347,-23.237,-22.237,1.08,0.003,0.333,0.076,0.209,0.048,209.347,47.845,69782.483,15948.187,69.782,15.948,46.625,0.372,16.434,189.56,-23.107,-22.107,1.08,-0.13,0.011,0.011,0.011,0.011,0,0,0.61,0,-0.164,0,-0.002,,-0.427,0.004,0.004,0.004,0.004,0,0,0.365,0,-0.068,0,-0.004
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,IA,IA2,0-5cm,1,333.333,182.333,0.547,,0.547,547,1,56.537,13.808,41.424,0.395,78.22,169.611,16.401,17.401,1.124,0.003,0.31,0.076,0.17,0.041,169.611,41.424,56537.036,13808.074,56.537,13.808,71.376,0.372,16.322,304.268,-23.385,-22.385,1.08,39.786,0.011,0.011,0.011,0.011,0,0.074,0.61,0.122,40.517,0.041,0.717,,61.898,0.004,0.004,0.004,0.004,0,0.009,0.365,0.026,8.543,0.009,0.619
Nemertea,Nemertea,,P/S,,,,ST407,IA,IA2,0-5cm,1,333.333,398.667,1.196,,1.196,1196,1,142.226,33.152,99.456,0.382,43.321,426.677,-1.644,-0.644,1.104,0.003,0.357,0.083,0.427,0.099,426.677,99.456,142225.663,33152.132,142.226,33.152,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,23.263,0.011,0.011,0.011,0.011,0,0.109,0.61,0.179,59.608,0.06,0.419,,28.351,0.004,0.004,0.004,0.004,0,0.01,0.365,0.028,9.396,0.009,0.283
Sipuncula,Sipuncula,,SDF,,,,ST407,IA,IA2,0-5cm,1,333.333,199.667,0.599,,0.599,599,1,59.883,14.093,42.28,0.371,13.105,179.649,-21.879,-20.879,1.082,0.003,0.3,0.071,0.18,0.042,179.649,42.28,59882.988,14093.404,59.883,14.093,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,3.182,0.011,0.011,0.011,0.011,0,0.006,0.61,0.01,3.434,0.003,0.057,,-1.756,0.004,0.004,0.004,0.004,0,0,0.365,-0.001,-0.247,0,-0.018
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,IA,IA2,5-10cm,1,333.333,516.667,1.55,,1.55,1550,1,208.286,35.545,106.636,0.372,14.872,624.858,-21.672,-20.672,1.082,0.003,0.403,0.069,0.625,0.107,624.858,106.636,208286.044,35545.2,208.286,35.545,48.233,0.371,12.354,268.5,-23.999,-22.999,1.079,2.327,0.011,0.011,0.011,0.011,0,0.016,0.61,0.026,8.733,0.009,0.042,,2.518,0.004,0.004,0.004,0.004,0,0.001,0.365,0.003,0.895,0.001,0.025
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,IA,IA2,0-5cm,1,333.333,6.333,0.019,,,0,,1.285,0.294,,,,,,,,0.003,0.203,0.046,0.004,0.001,3.855,0.882,1284.974,294.094,1.285,0.294,,,,,,,,,,,,,,,,0.002,0.525,0.001,0.003,,,,,,,,,,0.001,0.229,0,0.005
Polychaeta,unidentified,unidentified,,,,,ST407,IA,IA2,5-10cm,,,699.333,2.098,,,0,,235.788,57.394,,,,,,,,0.003,0.337,0.082,0.707,0.172,707.363,172.182,235787.674,57394.159,235.788,57.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Cuspidariidae,Cuspidaria sp.,P/S,,,,ST407,IA,IA3,0-5cm,1,333.333,4.667,0.014,,,0,,1.224,0.296,,,,,,,,0.003,0.262,0.063,0.004,0.001,3.671,0.889,1223.707,296.246,1.224,0.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,IA,IA3,0-5cm,1,333.333,538.667,1.616,,1.616,1616,1,151.971,33.009,99.028,0.562,536.777,455.913,311.159,312.159,1.445,0.003,0.282,0.061,0.456,0.099,455.913,99.028,151971,33009.275,151.971,33.009,102.947,0.372,16.336,415.09,-23.397,-22.397,1.08,334.556,0.015,0.011,0.015,0.011,0.004,1.671,0.61,2.738,912.82,0.913,6.007,,520.441,0.006,0.004,0.006,0.004,0.002,0.188,0.365,0.514,171.428,0.171,5.193
Polychaeta,Maldanidae,Maldane sp.,SSDF,Large,,,ST407,IA,IA3,5-10cm,1,333.333,508.333,1.525,,1.525,1525,1,138.325,34.331,102.992,0.373,18.452,414.974,-22.89,-21.89,1.081,0.003,0.272,0.068,0.415,0.103,414.974,102.992,138324.576,34330.757,138.325,34.331,50.484,0.372,16.772,226.681,-23.413,-22.413,1.08,0.523,0.011,0.011,0.011,0.011,0,0.002,0.61,0.004,1.303,0.001,0.009,,1.679,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.576,0.001,0.017
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST407,IA,IA3,0-5cm,1,333.333,45.667,0.137,,0.137,137,1,14.379,3.679,11.037,0.375,22.966,43.137,-20.687,-19.687,1.083,0.003,0.315,0.081,0.043,0.011,43.137,11.037,14379.089,3679.019,14.379,3.679,15.088,0.372,14.928,55.215,-24.573,-23.573,1.079,3.885,0.011,0.011,0.011,0.011,0,0.002,0.61,0.003,1.007,0.001,0.07,,8.038,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.296,0,0.08
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST407,IA,IA3,0-5cm,1,333.333,33,0.099,,0.099,99,1,6.531,1.762,5.285,0.372,16.357,19.594,-20.538,-19.538,1.083,0.003,0.198,0.053,0.02,0.005,19.594,5.285,6531.385,1761.695,6.531,1.762,48.233,0.371,12.354,268.5,-23.999,-22.999,1.079,3.461,0.011,0.011,0.011,0.011,0,0.001,0.61,0.001,0.407,0,0.062,,4.004,0.004,0.004,0.004,0.004,0,0,0.365,0,0.071,0,0.04
